region_name,county_name,parish_name,candidate_name,candidate_votes_percentage,candidate_votes_count,parish_voters_percentage,parish_voters_count,parish_blank_percentage,parish_blank_count,parish_null_percentage,parish_null_count
Açores,Horta,Capelo,Marisa Matias,3.19,6,42.36,194,2.06,4,1.03,2
Açores,Horta,Capelo,Tiago Mayan Gonçalves,0.53,1,42.36,194,2.06,4,1.03,2
Açores,Horta,Capelo,Vitorino Silva,0.0,0,42.36,194,2.06,4,1.03,2
Açores,Horta,Castelo Branco,Marcelo Rebelo de Sousa,78.99,282,32.68,367,2.72,10,0.0,0
Açores,Horta,Castelo Branco,André Ventura,7.84,28,32.68,367,2.72,10,0.0,0
Açores,Horta,Castelo Branco,Ana Gomes,6.16,22,32.68,367,2.72,10,0.0,0
Açores,Horta,Castelo Branco,Vitorino Silva,2.24,8,32.68,367,2.72,10,0.0,0
Açores,Horta,Castelo Branco,Marisa Matias,1.96,7,32.68,367,2.72,10,0.0,0
Açores,Horta,Castelo Branco,Tiago Mayan Gonçalves,1.68,6,32.68,367,2.72,10,0.0,0
Açores,Horta,Castelo Branco,João Ferreira,1.12,4,32.68,367,2.72,10,0.0,0
Açores,Horta,Cedros,Marcelo Rebelo de Sousa,77.81,270,46.97,357,1.12,4,1.68,6
Açores,Horta,Cedros,Ana Gomes,8.07,28,46.97,357,1.12,4,1.68,6
Açores,Horta,Cedros,Marisa Matias,5.19,18,46.97,357,1.12,4,1.68,6
Açores,Horta,Cedros,André Ventura,5.19,18,46.97,357,1.12,4,1.68,6
Açores,Horta,Cedros,Tiago Mayan Gonçalves,1.44,5,46.97,357,1.12,4,1.68,6
Açores,Horta,Cedros,Vitorino Silva,1.44,5,46.97,357,1.12,4,1.68,6
Açores,Horta,Cedros,João Ferreira,0.86,3,46.97,357,1.12,4,1.68,6
Açores,Horta,Feteira,Marcelo Rebelo de Sousa,68.21,354,34.57,531,1.51,8,0.75,4
Açores,Horta,Feteira,Ana Gomes,12.72,66,34.57,531,1.51,8,0.75,4
Açores,Horta,Feteira,André Ventura,6.55,34,34.57,531,1.51,8,0.75,4
Açores,Horta,Feteira,Marisa Matias,4.82,25,34.57,531,1.51,8,0.75,4
Açores,Horta,Feteira,Tiago Mayan Gonçalves,2.89,15,34.57,531,1.51,8,0.75,4
Açores,Horta,Feteira,Vitorino Silva,2.89,15,34.57,531,1.51,8,0.75,4
Açores,Horta,Feteira,João Ferreira,1.93,10,34.57,531,1.51,8,0.75,4
Açores,Horta,Flamengos,Marcelo Rebelo de Sousa,73.43,351,35.44,493,2.03,10,1.01,5
Açores,Horta,Flamengos,Ana Gomes,9.21,44,35.44,493,2.03,10,1.01,5
Açores,Horta,Flamengos,André Ventura,5.65,27,35.44,493,2.03,10,1.01,5
